"ID	NAME	REGION	PRIR_PR_14	MIGR_SA_14	DOK_BYT_14	M_URBAN_16	IND_STA_14	IND_VZD_11	TR_CEPR_14"
"weight			0,15	0,15	0,2	0,05	0,2	0,2	0,05"
"min			1	1	1	1	1	1	1"
"max			5	5	5	5	5	5	5"
"500020	Petrov nad Desnou	Šumperk	3	3	2	1	3	2	4"
"500496	Olomouc	Olomouc	3	3	4	2	3	5	4"
"500526	Bělkovice-Lašťany	Olomouc	3	4	4	3	5	3	4"
"500623	Bílá Lhota	Litovel	3	2	4	3	2	2	4"
"500801	Blatec	Olomouc	3	3	5	4	4	3	4"
"500852	Bohuňovice	Olomouc	4	3	3	3	4	5	4"
"500861	Bouzov	Litovel	4	3	4	4	2	4	4"
"500879	Bystročice	Olomouc	5	5	2	4	5	3	4"
"501476	Dlouhá Loučka	Uničov	3	2	3	2	3	3	4"
"501646	Dolany	Olomouc	3	4	4	2	5	5	4"
"501751	Drahanovice	Olomouc	3	3	3	3	3	3	4"
"501794	Dub nad Moravou	Olomouc	3	4	2	2	4	3	5"
"501841	Grygov	Olomouc	3	3	2	3	4	4	4"
"502146	Hlubočky	Olomouc	2	3	3	2	3	3	5"
"502235	Hněvotín	Olomouc	4	4	5	3	5	4	4"
"502405	Hnojice	Šternberk	3	3	3	4	4	3	3"
"502545	Horka nad Moravou	Olomouc	3	4	3	2	4	4	5"
"502839	Cholina	Litovel	5	2	3	2	4	4	4"
"503142	Jívová	Šternberk	3	4	3	4	3	2	5"
"503304	Kožušany-Tážaly	Olomouc	3	4	2	3	3	4	4"
"503444	Litovel	Litovel	3	3	2	2	3	4	4"
"503622	Luká	Litovel	3	4	4	4	2	3	4"
"503657	Lutín	Olomouc	3	3	3	2	4	4	4"
"503738	Majetín	Olomouc	3	3	3	2	4	4	3"
"503941	Libavá	Olomouc	3	1	1	5	5	2	4"
"504246	Mladeč	Litovel	3	2	2	2	3	2	4"
"504441	Náklo	Litovel	4	3	3	2	4	3	4"
"504505	Náměšť na Hané	Olomouc	2	3	3	3	3	4	4"
"504785	Paseka	Uničov	3	3	3	2	4	3	4"
"505013	Příkazy	Olomouc	3	4	2	2	4	4	4"
"505081	Senice na Hané	Litovel	3	3	2	4	3	3	4"
"505111	Slatinice	Olomouc	3	3	1	1	3	4	4"
"505161	Štěpánov	Olomouc	3	3	2	2	4	3	4"
"505188	Šternberk	Šternberk	3	3	3	2	3	4	4"
"505218	Šumvald	Uničov	4	2	2	2	3	3	3"
"505269	Těšetice	Olomouc	3	2	2	3	3	4	3"
"505293	Troubelice	Uničov	4	3	3	3	4	3	4"
"505366	Tršice	Olomouc	3	3	4	4	4	4	4"
"505501	Újezd	Uničov	3	3	4	3	3	2	5"
"505587	Uničov	Uničov	3	3	4	2	2	4	4"
"505609	Velká Bystřice	Olomouc	3	5	4	3	4	5	4"
"505650	Velký Týnec	Olomouc	4	3	5	2	5	4	4"
"505668	Velký Újezd	Olomouc	5	4	3	2	4	4	4"
"505862	Žerotín	Šternberk	4	5	3	3	4	4	5"
"506761	Alojzov	Prostějov	5	3	1	4	2	4	4"
"506770	Seloutky	Prostějov	3	4	3	3	2	5	3"
"511382	Přerov	Přerov	3	3	2	2	2	5	4"
"512231	Bělotín	Hranice	4	3	4	1	5	2	4"
"512281	Beňov	Přerov	3	4	2	4	3	2	5"
"512401	Bezuchov	Přerov	1	3	1	1	2	4	3"
"512532	Bochoř	Přerov	2	3	3	2	3	3	5"
"512800	Brodek u Přerova	Přerov	2	2	2	1	3	4	4"
"512826	Buk	Přerov	3	5	1	1	2	3	5"
"512877	Býškovice	Hranice	5	2	3	1	5	3	5"
"512982	Citov	Přerov	4	3	3	1	4	4	4"
"513059	Čelechovice	Přerov	1	4	1	1	5	3	3"
"513067	Černotín	Hranice	1	4	3	1	3	4	4"
"513105	Dobrčice	Přerov	2	4	1	1	4	4	1"
"513199	Dolní Újezd	Lipník nad Bečvou	3	4	3	1	4	3	5"
"513211	Domaželice	Přerov	2	2	3	1	4	3	1"
"513229	Dřevohostice	Přerov	4	3	1	1	3	3	4"
"513491	Horní Moštěnice	Přerov	2	2	5	1	3	4	3"
"513636	Hrabůvka	Hranice	1	2	1	1	2	3	3"
"513733	Hradčany	Přerov	4	2	1	1	3	3	2"
"513750	Hranice	Hranice	3	2	2	2	3	5	4"
"513768	Hustopeče nad Bečvou	Hranice	3	2	2	1	4	4	3"
"513873	Jindřichov	Hranice	3	4	1	1	2	3	5"
"514047	Klokočí	Hranice	5	4	1	1	4	4	5"
"514055	Kojetín	Přerov	3	3	2	1	3	3	4"
"514152	Kokory	Přerov	3	3	3	1	3	3	4"
"514446	Lazníčky	Přerov	3	3	1	1	2	5	3"
"514471	Lazníky	Přerov	3	3	1	3	4	3	2"
"514497	Lhota	Lipník nad Bečvou	5	4	1	1	2	2	5"
"514527	Lhotka	Přerov	3	4	1	1	5	3	2"
"514705	Lipník nad Bečvou	Lipník nad Bečvou	3	3	2	1	4	4	4"
"514772	Lipová	Přerov	2	3	1	1	1	3	4"
"514802	Líšná	Přerov	2	5	5	1	2	2	5"
"515191	Lobodice	Přerov	3	3	1	1	3	2	4"
"515329	Malhotice	Hranice	1	3	1	5	4	2	2"
"515418	Milenov	Hranice	1	2	1	1	4	3	3"
"515477	Milotice nad Bečvou	Hranice	4	4	3	1	4	3	5"
"515787	Nelešovice	Přerov	4	1	1	1	4	3	5"
"515825	Oldřichov	Přerov	2	4	1	1	5	4	5"
"516201	Opatovice	Hranice	4	4	5	3	4	3	5"
"516350	Oprostovice	Přerov	1	1	1	1	1	3	2"
"516619	Osek nad Bečvou	Lipník nad Bečvou	3	3	4	1	4	4	4"
"516635	Paršovice	Hranice	5	1	3	1	4	3	4"
"516686	Partutovice	Hranice	2	3	1	3	4	3	4"
"516694	Pavlovice u Přerova	Přerov	1	5	3	1	1	2	5"
"516864	Podolí	Přerov	4	2	1	1	4	2	4"
"516899	Polkovice	Přerov	3	1	3	1	3	2	3"
"516911	Polom	Hranice	3	3	1	1	5	1	5"
"517101	Potštát	Hranice	3	5	2	3	3	2	5"
"517151	Prosenice	Přerov	2	1	1	1	2	4	2"
"517208	Provodovice	Hranice	3	1	1	1	4	2	1"
"517224	Přestavlky	Přerov	2	5	1	1	3	2	4"
"517275	Radíkov	Hranice	3	4	5	1	5	4	2"
"517321	Radkova Lhota	Přerov	1	5	1	1	1	2	5"
"517437	Radkovy	Přerov	1	1	1	1	3	3	1"
"517445	Radotín	Lipník nad Bečvou	4	5	4	1	5	4	5"
"517534	Radslavice	Přerov	3	3	4	1	4	3	4"
"517569	Radvanice	Přerov	3	2	1	3	4	3	4"
"517585	Rakov	Hranice	3	3	5	1	4	3	3"
"517607	Rokytnice	Přerov	3	4	2	1	3	3	4"
"517615	Rouské	Hranice	5	3	4	3	2	3	4"
"517666	Říkovice	Přerov	2	3	4	1	3	3	4"
"517747	Skalička	Hranice	2	5	5	1	5	2	5"
"517836	Sobíšky	Přerov	2	2	1	1	1	3	3"
"517844	Soběchleby	Lipník nad Bečvou	2	2	3	1	4	4	2"
"517887	Stará Ves	Přerov	3	4	3	1	5	2	5"
"517909	Střítež nad Ludinou	Hranice	2	2	2	5	2	4	3"
"518026	Sušice	Přerov	2	3	3	1	1	5	4"
"519031	Teplice nad Bečvou	Hranice	5	5	5	1	3	5	5"
"519146	Tovačov	Přerov	3	4	3	1	3	3	5"
"519651	Troubky	Přerov	2	3	2	1	3	3	4"
"520047	Tučín	Přerov	3	2	1	1	2	3	4"
"520306	Ústí	Hranice	2	4	1	4	4	4	5"
"520420	Veselíčko	Lipník nad Bečvou	4	4	1	1	4	4	5"
"521531	Všechovice	Hranice	3	3	3	1	3	3	5"
